seq,frame,type,gt_id_old,gt_id_new,track_id,note
V002,1325,reuse,12,14,170,tracker 170 matched gt 12 (last frame 1304) now gt 14
V002,1325,reuse,14,178,365,tracker 365 matched gt 14 (last frame 1323) now gt 178
V002,1326,switch,47,47,409,tracker 415 -> 409 on gt 47
V002,1327,switch,47,47,415,tracker 415 -> 415 on gt 47
V002,1329,switch,32,32,418,tracker 396 -> 418 on gt 32
V002,1335,switch,12,12,420,tracker 170 -> 420 on gt 12
V002,1337,switch,32,32,396,tracker 418 -> 396 on gt 32
V002,1352,switch,35,35,419,tracker 423 -> 419 on gt 35
V002,1352,switch,61,61,423,tracker 419 -> 423 on gt 61
V002,1353,reuse,61,35,419,tracker 419 matched gt 61 (last frame 1351) now gt 35
V002,1353,reuse,35,61,423,tracker 423 matched gt 35 (last frame 1349) now gt 61
V002,1366,switch,14,14,427,tracker 170 -> 427 on gt 14
V002,1429,switch,9,9,428,tracker 441 -> 428 on gt 9
V002,1429,switch,10,10,441,tracker 428 -> 441 on gt 10
V002,1430,reuse,10,9,428,tracker 428 matched gt 10 (last frame 1428) now gt 9
V002,1430,reuse,9,10,441,tracker 441 matched gt 9 (last frame 1420) now gt 10
V002,1431,switch,32,32,406,tracker 396 -> 406 on gt 32
V002,1431,switch,33,33,396,tracker 406 -> 396 on gt 33
V002,1432,reuse,33,32,406,tracker 406 matched gt 33 (last frame 1430) now gt 32
V002,1432,reuse,32,33,396,tracker 396 matched gt 32 (last frame 1424) now gt 33
V002,1437,switch,12,12,417,tracker 420 -> 417 on gt 12
V002,1437,switch,13,13,420,tracker 417 -> 420 on gt 13
V002,1438,reuse,13,12,417,tracker 417 matched gt 13 (last frame 1436) now gt 12
V002,1438,reuse,12,13,420,tracker 420 matched gt 12 (last frame 1434) now gt 13
V002,1442,switch,43,43,430,tracker 438 -> 430 on gt 43
V002,1443,reuse,40,43,430,tracker 430 matched gt 40 (last frame 1441) now gt 43
V002,1461,switch,55,55,324,tracker 397 -> 324 on gt 55
V002,1461,switch,183,183,397,tracker 324 -> 397 on gt 183
V002,1462,reuse,183,55,324,tracker 324 matched gt 183 (last frame 1460) now gt 55
V002,1462,reuse,55,183,397,tracker 397 matched gt 55 (last frame 1460) now gt 183
V002,1463,switch,177,177,440,tracker 215 -> 440 on gt 177
V002,1472,switch,64,64,458,tracker 444 -> 458 on gt 64
V002,1472,switch,65,65,444,tracker 458 -> 444 on gt 65
V002,1473,reuse,65,64,458,tracker 458 matched gt 65 (last frame 1471) now gt 64
V002,1473,reuse,64,65,444,tracker 444 matched gt 64 (last frame 1468) now gt 65
V002,1474,switch,40,40,416,tracker 430 -> 416 on gt 40
V002,1475,reuse,38,40,416,tracker 416 matched gt 38 (last frame 1471) now gt 40
V002,1484,switch,38,38,461,tracker 416 -> 461 on gt 38
V002,1495,switch,38,38,421,tracker 416 -> 421 on gt 38
V002,1496,reuse,37,38,421,tracker 421 matched gt 37 (last frame 1494) now gt 38
V002,1508,switch,37,37,474,tracker 421 -> 474 on gt 37
V002,1521,switch,48,48,395,tracker 442 -> 395 on gt 48
V002,1522,switch,36,36,442,tracker 395 -> 442 on gt 36
V002,1522,reuse,36,48,395,tracker 395 matched gt 36 (last frame 1517) now gt 48
V002,1523,reuse,48,36,442,tracker 442 matched gt 48 (last frame 1520) now gt 36
V002,1527,switch,48,48,478,tracker 395 -> 478 on gt 48
V002,1529,switch,39,39,458,tracker 431 -> 458 on gt 39
V002,1529,switch,64,64,431,tracker 458 -> 431 on gt 64
V002,1530,reuse,64,39,458,tracker 458 matched gt 64 (last frame 1528) now gt 39
V002,1530,reuse,39,64,431,tracker 431 matched gt 39 (last frame 1526) now gt 64
V002,1531,switch,43,43,395,tracker 430 -> 395 on gt 43
V002,1532,reuse,48,43,395,tracker 395 matched gt 48 (last frame 1526) now gt 43
V002,1533,switch,40,40,430,tracker 416 -> 430 on gt 40
V002,1534,reuse,43,40,430,tracker 430 matched gt 43 (last frame 1526) now gt 40
V002,1535,switch,38,38,442,tracker 421 -> 442 on gt 38
V002,1536,reuse,36,38,442,tracker 442 matched gt 36 (last frame 1525) now gt 38
V002,1542,switch,36,36,432,tracker 442 -> 432 on gt 36
V002,1543,reuse,62,36,432,tracker 432 matched gt 62 (last frame 1539) now gt 36
V002,1558,reuse,73,76,481,tracker 481 matched gt 73 (last frame 1557) now gt 76
V002,1561,switch,62,62,395,tracker 432 -> 395 on gt 62
V002,1562,switch,73,73,486,tracker 481 -> 486 on gt 73
V002,1562,reuse,43,62,395,tracker 395 matched gt 43 (last frame 1560) now gt 62
V002,1568,reuse,73,88,486,tracker 486 matched gt 73 (last frame 1563) now gt 88
V002,1569,switch,43,43,489,tracker 395 -> 489 on gt 43
V002,1571,switch,73,73,481,tracker 486 -> 481 on gt 73
V002,1572,reuse,76,73,481,tracker 481 matched gt 76 (last frame 1570) now gt 73
V002,1598,switch,36,36,489,tracker 432 -> 489 on gt 36
V002,1598,switch,43,43,432,tracker 489 -> 432 on gt 43
V002,1599,reuse,43,36,489,tracker 489 matched gt 43 (last frame 1579) now gt 36
V002,1599,reuse,36,43,432,tracker 432 matched gt 36 (last frame 1597) now gt 43
V002,1602,reuse,179,180,498,tracker 498 matched gt 179 (last frame 1601) now gt 180
V002,1604,reuse,180,179,498,tracker 498 matched gt 180 (last frame 1603) now gt 179
V002,1605,reuse,179,180,498,tracker 498 matched gt 179 (last frame 1604) now gt 180
V002,1607,reuse,180,179,498,tracker 498 matched gt 180 (last frame 1606) now gt 179
V002,1613,switch,62,62,452,tracker 395 -> 452 on gt 62
V002,1614,switch,33,33,395,tracker 396 -> 395 on gt 33
V002,1614,switch,43,43,396,tracker 432 -> 396 on gt 43
V002,1614,reuse,46,62,452,tracker 452 matched gt 46 (last frame 1612) now gt 62
V002,1615,reuse,62,33,395,tracker 395 matched gt 62 (last frame 1595) now gt 33
V002,1615,reuse,33,43,396,tracker 396 matched gt 33 (last frame 1613) now gt 43
V002,1617,switch,46,46,505,tracker 452 -> 505 on gt 46
V002,1617,switch,76,76,504,tracker 481 -> 504 on gt 76
V002,1629,switch,76,76,486,tracker 504 -> 486 on gt 76
V002,1629,switch,88,88,504,tracker 486 -> 504 on gt 88
V002,1630,switch,61,61,478,tracker 423 -> 478 on gt 61
V002,1630,reuse,88,76,486,tracker 486 matched gt 88 (last frame 1624) now gt 76
