seq,frame,type,gt_id_old,gt_id_new,track_id,old_hid,last_frame,gap,IoU_last,dx_last,dy_last,dist_last,IoU_prev,IoU_next,IoU_swap,dist_swap,area_ratio,na_flag
V002,448,switch,76,76,106,105,444,4,0.62240632,-7.05000000,-2.25000000,7.40033783,,0.88182634,,,1.06815816,no_prev|no_old
V002,449,reuse,9,76,106,0,448,1,0.88182634,1.45000000,2.00000000,2.47032387,0.88182634,0.88007887,,,1.01729370,
V002,451,switch,48,48,85,113,450,1,0.87378079,-0.90000000,1.75000000,1.96786687,0.87378079,0.73933599,,,1.08177104,no_old
V002,452,switch,10,10,127,98,,,,,,,,0.96424737,,,,no_last_seen|no_prev|no_old
V002,452,switch,33,33,103,110,451,1,0.82133129,-10.75000000,-7.60000000,13.16520034,0.82133129,0.62312091,,,0.99556406,no_old
V002,452,reuse,57,48,85,0,451,1,0.73933599,-2.90000000,-1.65000000,3.33654012,0.73933599,0.80028793,,,1.01974762,
V002,453,reuse,31,29,116,0,452,1,0.92634115,0.65000000,1.50000000,1.63477827,0.92634115,0.92920652,,,1.01682908,
V002,454,switch,9,9,105,106,444,10,0.57361285,0.20000000,4.30000000,4.30464865,,0.90152235,0.53889732,8.27798285,1.74333613,no_prev
V002,454,reuse,29,31,116,0,453,1,0.92920652,0.70000000,0.80000000,1.06301458,0.92920652,,,,0.94671198,no_next
V002,455,switch,33,33,110,110,450,5,0.51693625,30.20000000,-2.20000000,30.28002642,,0.80319587,1.00000000,0.00000000,0.86657756,no_prev
V002,455,reuse,76,9,105,0,454,1,0.90152235,-0.85000000,2.15000000,2.31192560,0.90152235,,,,1.10923485,no_next
V002,457,switch,9,9,127,105,456,1,0.40802946,14.75000000,-0.35000000,14.75415196,0.40802946,0.67986687,,,2.08958345,no_old
V002,457,switch,40,40,128,84,,,,,,,,0.87919614,,,,no_last_seen|no_prev|no_old
V002,458,switch,9,9,105,105,455,3,0.93403065,-1.05000000,0.10000000,1.05475116,,0.92605547,1.00000000,0.00000000,1.02472805,no_prev
V002,458,switch,41,41,119,95,457,1,0.82488852,2.40000000,0.15000000,2.40468293,0.82488852,0.85951119,,,0.96530364,no_old
V002,459,reuse,67,41,119,0,458,1,0.85951119,1.75000000,0.15000000,1.75641681,0.85951119,0.86722875,,,0.95160520,
